model,league,matches,model_brier,market_brier,model_logloss,market_logloss
dixon-coles,ALL,5286,0.5874,0.5734,0.9855,0.9644
dixon-coles,D1,918,0.5866,0.5703,0.9857,0.9616
dixon-coles,E0,1140,0.5906,0.5702,0.9899,0.9603
dixon-coles,F1,928,0.5989,0.5887,1.0019,0.9863
dixon-coles,I1,1150,0.5847,0.5733,0.9795,0.9618
dixon-coles,SP1,1150,0.5786,0.5666,0.9737,0.9556
elo-poisson,ALL,5286,0.5911,0.5734,0.9914,0.9644
elo-poisson,D1,918,0.5938,0.5703,0.9963,0.9616
elo-poisson,E0,1140,0.5934,0.5702,0.994,0.9603
elo-poisson,F1,928,0.5988,0.5887,1.0023,0.9863
elo-poisson,I1,1150,0.5894,0.5733,0.9878,0.9618
elo-poisson,SP1,1150,0.5823,0.5666,0.9795,0.9556
gbm,ALL,5286,0.5951,0.5734,0.998,0.9644
gbm,D1,918,0.5959,0.5703,1.0006,0.9616
gbm,E0,1140,0.6042,0.5702,1.0117,0.9603
gbm,F1,928,0.5989,0.5887,1.0032,0.9863
gbm,I1,1150,0.5931,0.5733,0.9938,0.9618
gbm,SP1,1150,0.5844,0.5666,0.9823,0.9556
ensemble,ALL,5286,0.5879,0.5734,0.9862,0.9644
ensemble,D1,918,0.5865,0.5703,0.9858,0.9616
ensemble,E0,1140,0.5922,0.5702,0.9922,0.9603
ensemble,F1,928,0.599,0.5887,1.002,0.9863
ensemble,I1,1150,0.5847,0.5733,0.9794,0.9618
ensemble,SP1,1150,0.5791,0.5666,0.9745,0.9556
